Rank,Zipcode,Population
1,37013,"97,939"
2,37042,"77,945"
3,37211,"75,955"
4,37075,"65,986"
5,38401,"61,787"
6,37129,"60,540"
7,37167,"59,514"
8,37064,"58,937"
9,37122,"58,323"
10,37130,"57,002"
11,37027,"56,117"
12,38017,"55,073"
13,37128,"54,317"
14,37421,"52,254"
15,38305,"52,194"
16,37040,"52,155"
17,37066,"51,873"
18,37087,"48,562"
19,37043,"48,501"
20,38016,"48,325"
21,38134,"45,612"
22,37918,"45,268"
23,38128,"45,023"
24,38109,"44,911"
25,38127,"43,086"
26,38111,"42,846"
27,37343,"42,726"
28,37221,"41,017"
29,38116,"40,777"
30,38002,"40,430"
31,37920,"40,358"
32,37115,"40,343"
33,37076,"40,161"
34,37363,"39,941"
35,38115,"39,644"
36,37207,"39,544"
37,38118,"39,168"
38,38501,"39,082"
39,37660,"39,005"
40,37209,"38,664"
41,37620,"38,170"
42,38125,"38,131"
43,37174,"37,004"
44,37922,"36,542"
45,37601,"36,333"
46,38018,"36,289"
47,37604,"36,040"
48,37312,"35,065"
49,37086,"34,429"
50,37160,"34,339"
51,37814,"34,212"
52,37643,"33,558"
53,38301,"33,554"
54,37110,"33,483"
55,37876,"32,761"
56,37803,"32,652"
57,37923,"31,614"
58,37072,"31,492"
59,37323,"31,385"
60,37214,"30,528"
61,37172,"30,468"
62,37217,"30,146"
63,37067,"29,543"
64,37830,"29,479"
65,38135,"29,373"
66,37919,"29,108"
67,38506,"28,636"
68,37931,"28,584"
69,37311,"28,187"
70,37659,"28,075"
71,37055,"27,772"
72,37379,"27,416"
73,38024,"27,405"
74,37664,"27,390"
75,37921,"27,259"
76,37355,"27,076"
77,37716,"26,979"
78,37804,"26,892"
79,37934,"26,604"
80,37801,"26,577"
81,37849,"26,485"
82,37206,"26,382"
83,38117,"26,296"
84,38053,"26,282"
85,37743,"25,939"
86,38114,"25,474"
87,37388,"25,367"
88,38138,"25,228"
89,37917,"24,933"
90,37303,"24,866"
91,38119,"24,582"
92,37148,"24,547"
93,38583,"24,459"
94,38122,"24,419"
95,37415,"24,028"
96,38106,"23,791"
97,37205,"23,790"
98,37138,"23,784"
99,38104,"23,456"
100,37862,"23,147"
101,37334,"22,909"
102,38141,"22,861"
103,37912,"22,684"
104,37091,"22,440"
105,37215,"22,379"
106,38464,"22,347"
107,38133,"22,266"
108,37821,"21,975"
109,37865,"21,908"
110,37615,"21,722"
111,37412,"21,209"
112,37212,"20,803"
113,37069,"20,467"
114,38242,"20,296"
115,37857,"19,912"
116,38555,"19,661"
117,37321,"19,464"
118,37914,"19,330"
119,37932,"18,919"
120,37774,"18,503"
121,38351,"18,459"
122,37745,"18,318"
123,37127,"18,300"
124,37208,"18,011"
125,37725,"17,944"
126,37216,"17,848"
127,37766,"17,735"
128,37015,"17,665"
129,38108,"17,626"
130,38478,"17,602"
131,37354,"17,573"
132,37813,"17,409"
133,37771,"17,287"
134,38372,"17,266"
135,37210,"17,248"
136,37405,"17,091"
137,37938,"17,050"
138,37411,"16,987"
139,37748,"16,576"
140,38112,"16,512"
141,38019,"16,298"
142,37909,"16,282"
143,38063,"16,277"
144,37377,"15,960"
145,38107,"15,784"
146,37218,"15,721"
147,38237,"15,648"
148,38139,"15,610"
149,38261,"15,475"
150,37204,"15,452"
151,37179,"15,445"
152,37188,"15,431"
153,38343,"15,413"
154,37083,"15,290"
155,37090,"15,266"
156,37416,"15,239"
157,37763,"15,196"
158,37398,"15,125"
159,37203,"15,091"
160,37642,"14,961"
161,38120,"14,956"
162,37874,"14,881"
163,37073,"14,785"
164,38103,"14,684"
165,38571,"14,384"
166,37135,"14,256"
167,37617,"14,198"
168,37663,"14,183"
169,37166,"14,136"
170,37406,"14,058"
171,37618,"13,936"
172,37760,"13,714"
173,38012,"13,533"
174,37721,"13,426"
175,37683,"13,301"
176,37916,"13,092"
177,37772,"12,888"
178,37924,"12,670"
179,37854,"12,564"
180,38340,"12,510"
181,37367,"12,199"
182,37062,"12,185"
183,37404,"12,136"
184,37777,"12,122"
185,38358,"12,077"
186,37650,"12,056"
187,38556,"11,905"
188,37327,"11,777"
189,37341,"11,663"
190,38572,"11,246"
191,37807,"11,098"
192,37879,"11,059"
193,37407,"11,039"
194,38068,"10,985"
195,38201,"10,947"
196,38004,"10,863"
197,38320,"10,506"
198,38462,"10,281"
199,37840,"10,238"
200,38060,"10,197"
201,37186,"10,038"
202,38058,"10,007"
203,37764,"9,820"
204,37397,"9,605"
205,37757,"9,577"
206,37841,"9,568"
207,38011,"9,536"
208,37381,"9,478"
209,37641,"9,356"
210,38570,"9,325"
211,37074,"9,305"
212,38558,"9,076"
213,37877,"8,984"
214,38008,"8,797"
215,37037,"8,768"
216,38574,"8,677"
217,37861,"8,666"
218,38375,"8,653"
219 TIE,38382 and 37871,"8,650"
220,37322,"8,608"
221,37385,"8,485"
222,37190,"8,465"
223,38474,"8,389"
224,37825,"8,381"
225,37820,"8,354"
226,37185,"8,275"
227,37686,"8,129"
228,37347,"8,107"
229,38344,"7,860"
230 TIE,38059 and 37058,"7,780"
231,37701,"7,745"
232,37887,"7,739"
233,37146,"7,615"
234,37403,"7,470"
235,37033,"7,406"
236,37080,"7,394"
237,37187,"7,349"
238,37034,"7,308"
239,37331,"7,261"
240,37030,"7,260"
241,37890,"7,255"
242,38544,"7,211"
243,37101,"7,128"
244,37029,"7,017"
245,37419,"6,772"
246,37098,"6,760"
247,38075,"6,755"
248,37863,"6,712"
249,37048,"6,702"
250,38028,"6,655"
251,37022,"6,583"
252,38562,"6,504"
253,37752,"6,496"
254,38023,"6,466"
255,38485,"6,465"
256,37330,"6,451"
257,37153,"6,426"
258,38355,"6,404"
259,38126,"6,329"
260,38310,"6,291"
261,37380,"6,261"
262,37742,"6,252"
263,37036,"6,245"
264,37184,"6,195"
265,37082,"6,073"
266,37681,"6,003"
267,37020,"5,984"
268,37769,"5,973"
269,38105,"5,915"
270,37722,"5,911"
271,38483,"5,910"
272,37220,"5,880"
273,37737,"5,817"
274,37708,"5,785"
275,37025,"5,698"
276,37046,"5,685"
277,37329,"5,651"
278,37096,"5,649"
279,37324,"5,618"
280,38225,"5,606"
281 TIE,38468 and 37665,"5,604"
282,37738,"5,420"
283,38006,"5,411"
284,37754,"5,331"
285,37826,"5,303"
286,38363,"5,291"
287,37032,"5,275"
288,37915,"5,252"
289,37353,"5,195"
290,38456,"5,165"
